"id","campaign_id","template_id","created_at","updated_at"
2,6,24,"2018-03-14 16:49:21","2018-03-14 16:49:21"
3,12,25,"2018-03-14 16:49:21","2018-03-14 16:49:21"
4,6,26,"2018-03-14 16:49:21","2018-03-14 16:49:21"
14,11,12,"2018-03-14 16:49:21","2018-03-14 16:49:21"
338,17,11,"2019-08-01 19:39:25","2019-08-01 19:39:25"
339,19,11,"2019-08-01 19:39:25","2019-08-01 19:39:25"
341,11,15,"2019-08-01 20:36:17","2019-08-01 20:36:17"
342,7,4,"2019-08-01 20:36:26","2019-08-01 20:36:26"
343,19,4,"2019-08-01 20:36:26","2019-08-01 20:36:26"
344,11,1,"2019-08-01 20:36:38","2019-08-01 20:36:38"
345,17,1,"2019-08-01 20:36:38","2019-08-01 20:36:38"
346,19,1,"2019-08-01 20:36:38","2019-08-01 20:36:38"
347,11,5,"2019-08-01 20:36:47","2019-08-01 20:36:47"
348,11,6,"2019-08-01 20:36:57","2019-08-01 20:36:57"
349,17,6,"2019-08-01 20:36:57","2019-08-01 20:36:57"
350,11,7,"2019-08-01 20:37:16","2019-08-01 20:37:16"
351,7,8,"2019-08-01 20:37:26","2019-08-01 20:37:26"
352,17,8,"2019-08-01 20:37:26","2019-08-01 20:37:26"
353,18,8,"2019-08-01 20:37:26","2019-08-01 20:37:26"
354,19,8,"2019-08-01 20:37:26","2019-08-01 20:37:26"
355,17,9,"2019-08-01 20:37:34","2019-08-01 20:37:34"
356,11,10,"2019-08-01 20:38:23","2019-08-01 20:38:23"
357,7,13,"2019-08-01 20:38:53","2019-08-01 20:38:53"
358,9,13,"2019-08-01 20:38:53","2019-08-01 20:38:53"
359,17,13,"2019-08-01 20:38:53","2019-08-01 20:38:53"
360,19,13,"2019-08-01 20:38:53","2019-08-01 20:38:53"
361,7,14,"2019-08-01 20:39:02","2019-08-01 20:39:02"
362,17,14,"2019-08-01 20:39:02","2019-08-01 20:39:02"
363,18,14,"2019-08-01 20:39:02","2019-08-01 20:39:02"
364,19,14,"2019-08-01 20:39:02","2019-08-01 20:39:02"
