"id","template_id","title","description","status","pdf_file_name","pdf_content_type","pdf_file_size","pdf_updated_at","created_at","updated_at","tag_id","creator_id","thumbnail_file_name","thumbnail_content_type","thumbnail_file_size","thumbnail_updated_at","crop_marks","share_graphic_file_name","share_graphic_content_type","share_graphic_file_size","share_graphic_updated_at"
3,1,"Sector specific","Integer elit massa, vulputate sit amet blandit ac, laoreet ut nisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. ",1,NULL,NULL,NULL,NULL,"2017-03-02 16:20:08","2017-05-25 17:28:50",NULL,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
15,1,"Sector specific","Integer elit massa, vulputate sit amet blandit ac, laoreet ut nisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. ",0,NULL,NULL,NULL,NULL,"2017-03-06 21:10:11","2017-03-06 21:10:11",NULL,8,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
17,1,"Sector specific","Integer elit massa, vulputate sit amet blandit ac, laoreet ut nisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. ",0,NULL,NULL,NULL,NULL,"2017-03-06 21:17:40","2017-03-06 21:17:40",NULL,8,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
18,1,"Document I Made All By Myself","Integer elit massa, vulputate sit amet blandit ac, laoreet ut nisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. ",-2,"18.pdf","application/pdf",460917,"2017-06-02 03:43:44","2017-03-07 18:22:12","2017-06-02 03:43:44",NULL,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
19,1,"Sector specific","Integer elit massa, vulputate sit amet blandit ac, laoreet ut nisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. ",-2,NULL,NULL,NULL,NULL,"2017-03-07 20:17:15","2017-05-24 20:20:37",NULL,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
20,1,"Sector specific","Integer elit massa, vulputate sit amet blandit ac, laoreet ut nisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. ",-2,NULL,NULL,NULL,NULL,"2017-03-07 23:00:30","2017-05-25 15:32:13",NULL,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
22,4,"Comparison Table","Integer elit massa, vulputate sit amet blandit ac, laoreet ut nisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0,"22.pdf","application/pdf",541068,"2017-03-10 14:40:23","2017-03-08 19:04:37","2017-03-10 14:40:23",NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
27,5,"We Never Quit","Lorem ipsum...",0,"27.pdf","application/pdf",592911,"2017-03-10 15:15:32","2017-03-08 20:40:15","2017-03-10 15:15:32",NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
31,6,"Never Quit Meeting Flyer","Lorem ipsum and so forth..",1,NULL,NULL,NULL,NULL,"2017-03-09 15:49:05","2017-05-24 13:04:21",NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
32,4,"Randy's Comparison Table","Using this for testing.",1,"32.pdf","application/pdf",544190,"2017-07-10 19:07:40","2017-03-09 15:57:43","2017-07-10 19:07:41",NULL,3,"32.png","image/png",20415,"2017-07-10 19:07:41",0,NULL,NULL,NULL,NULL
34,7,"Certificate Award","Lorem ipsum",0,"34.pdf","application/pdf",240719,"2017-03-10 15:57:36","2017-03-09 17:31:46","2017-03-10 15:57:36",NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
36,8,"2-Sided Postcard","Lorem ipsum",0,"36.pdf","application/pdf",762369,"2017-08-17 16:05:57","2017-03-09 19:14:43","2017-08-17 16:06:01",NULL,1,"36.png","image/png",14207,"2017-08-17 16:06:01",0,NULL,NULL,NULL,NULL
38,8,"2-Sided Postcard","Lorem ipsum",0,"38.pdf","application/pdf",273089,"2017-03-09 19:58:12","2017-03-09 19:55:16","2017-03-09 19:58:12",NULL,11,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
39,9,"AFSCME Stands","AFSCME Stands...",1,"39.pdf","application/pdf",480802,"2017-03-10 16:14:36","2017-03-09 20:33:41","2017-03-10 16:14:36",NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
