id,document_id,user_id,"created_at","updated_at"
11,3,1,"2017-03-06 15:34:05","2017-03-06 15:34:05"
15,15,8,"2017-03-06 21:10:11","2017-03-06 21:10:11"
17,17,8,"2017-03-06 21:17:40","2017-03-06 21:17:40"
18,18,2,"2017-03-07 18:22:12","2017-03-07 18:22:12"
19,19,2,"2017-03-07 20:17:15","2017-03-07 20:17:15"
20,20,2,"2017-03-07 23:00:30","2017-03-07 23:00:30"
22,22,1,"2017-03-08 19:04:37","2017-03-08 19:04:37"
27,27,1,"2017-03-08 20:40:15","2017-03-08 20:40:15"
31,31,1,"2017-03-09 15:49:05","2017-03-09 15:49:05"
32,32,3,"2017-03-09 15:57:43","2017-03-09 15:57:43"
34,34,1,"2017-03-09 17:31:46","2017-03-09 17:31:46"
36,36,1,"2017-03-09 19:14:43","2017-03-09 19:14:43"
38,38,11,"2017-03-09 19:55:16","2017-03-09 19:55:16"
39,39,1,"2017-03-09 20:33:41","2017-03-09 20:33:41"
40,40,1,"2017-03-09 21:03:46","2017-03-09 21:03:46"
50,50,2,"2017-03-10 20:47:07","2017-03-10 20:47:07"
52,52,2,"2017-03-13 15:24:05","2017-03-13 15:24:05"
53,53,2,"2017-03-13 15:24:09","2017-03-13 15:24:09"
57,57,2,"2017-03-13 21:31:06","2017-03-13 21:31:06"
59,59,17,"2017-03-14 19:42:13","2017-03-14 19:42:13"
60,60,19,"2017-03-14 19:49:12","2017-03-14 19:49:12"
61,61,19,"2017-03-14 19:49:24","2017-03-14 19:49:24"
62,62,19,"2017-03-14 19:49:41","2017-03-14 19:49:41"
65,65,7,"2017-03-14 19:50:12","2017-03-14 19:50:12"
66,66,19,"2017-03-14 19:54:43","2017-03-14 19:54:43"
67,67,7,"2017-03-14 20:11:38","2017-03-14 20:11:38"
68,68,7,"2017-03-14 20:11:48","2017-03-14 20:11:48"
71,71,2,"2017-03-15 17:26:33","2017-03-15 17:26:33"
76,76,1,"2017-03-15 20:56:01","2017-03-15 20:56:01"
78,78,2,"2017-03-16 16:50:31","2017-03-16 16:50:31"
79,79,1,"2017-03-16 16:53:35","2017-03-16 16:53:35"
82,82,2,"2017-03-16 18:15:10","2017-03-16 18:15:10"
