"id","image_file_name","image_content_type","image_file_size","image_updated_at","created_at","updated_at","creator_id","status","crop_data","image_meta"
6,"robot2.png","image/png",39231,"2017-03-06 14:56:51","2017-03-06 14:56:51","2017-03-06 14:56:51",8,1,NULL,NULL
24,"antron-hat.jpg","image/jpeg",32263,"2017-03-07 21:53:39","2017-03-07 21:53:39","2017-03-07 21:53:39",9,1,NULL,NULL
29,"patricia-flowers.jpg","image/jpeg",46909,"2017-03-09 18:48:25","2017-03-09 18:48:25","2017-05-15 17:48:25",6,-2,NULL,NULL
30,"affiliate-logo.jpg","image/jpeg",37850,"2017-03-09 19:52:01","2017-03-09 19:52:01","2017-03-09 19:52:01",11,1,NULL,NULL
31,"headshot.jpg","image/jpeg",95545,"2017-03-09 19:53:21","2017-03-09 19:53:21","2017-03-09 19:53:21",11,1,NULL,NULL
33,"substance-dyk.jpg","image/jpeg",60602,"2017-06-02 03:36:43","2017-03-10 20:16:32","2017-06-02 03:36:43",2,1,NULL,"BAh7BzoNb3JpZ2luYWx7CDoKd2lkdGhpAg8BOgtoZWlnaHRpAaE6CXNpemVp
ArrsOgxjcm9wcGVkewg7BmkCDwE7B2kBoTsIaQKj7A==
"
34,"physical-dyk.jpg","image/jpeg",45744,"2017-06-02 03:36:43","2017-03-10 20:44:41","2017-06-02 03:36:44",2,1,NULL,"BAh7BzoNb3JpZ2luYWx7CDoKd2lkdGhpAg8BOgtoZWlnaHRpAZs6CXNpemVp
ArCyOgxjcm9wcGVkewg7BmkCDwE7B2kBmzsIaQKzsg==
"
35,"testing.jpg","image/jpeg",2719916,"2017-06-02 03:36:46","2017-03-13 21:30:16","2017-06-02 03:36:47",2,1,NULL,"BAh7BzoNb3JpZ2luYWx7CDoKd2lkdGhpAs4SOgtoZWlnaHRpAuEHOglzaXpl
aQOsgCk6DGNyb3BwZWR7CDsGaQLOEjsHaQLhBzsIaQN3gCk=
"
37,"robot1.png","image/png",35518,"2017-06-02 03:36:48","2017-03-14 15:08:37","2017-06-02 03:36:48",1,1,NULL,"BAh7BzoNb3JpZ2luYWx7CDoKd2lkdGhpAiwBOgtoZWlnaHRpAiwBOglzaXpl
aQK+ijoMY3JvcHBlZHsIOwZpAiwBOwdpAiwBOwhpAuCK
"
38,"robot2.png","image/png",39376,"2017-06-02 03:36:48","2017-03-14 15:10:19","2017-06-02 03:36:49",1,1,NULL,"BAh7BzoNb3JpZ2luYWx7CDoKd2lkdGhpAiwBOgtoZWlnaHRpAiwBOglzaXpl
aQLQmToMY3JvcHBlZHsIOwZpAiwBOwdpAiwBOwhpAvKZ
"
39,"Screen_Shot_2017-03-14_at_12.41.36_PM.png","image/png",79712,"2017-06-02 03:36:49","2017-03-14 19:41:46","2017-06-02 21:03:51",7,-2,NULL,"BAh7BzoNb3JpZ2luYWx7CDoKd2lkdGhpAfQ6C2hlaWdodGkBmToJc2l6ZWkD
YDcBOgxjcm9wcGVkewg7BmkB9DsHaQGZOwhpA+0sAQ==
"
